Morbidade Hospitalar do SUS - por local de interna��o - Brasil
Interna��es por Munic�pio
Cap�tulo CID-10: V.   Transtornos mentais e comportamentais
Per�odo:2024
"Munic�pio";"Interna��es"
"510718 RIBEIRAO CASCALHEIRA";5
"510730 SAO JOSE DO RIO CLARO";15
"510760 RONDONOPOLIS";1166
"510770 ROSARIO OESTE";1
"510785 SAO FELIX DO ARAGUAIA";9
"510787 SAPEZAL";4
"510792 SORRISO";9
"510794 TABAPORA";2
"510795 TANGARA DA SERRA";49
"510800 TAPURAH";4
"510805 TERRA NOVA DO NORTE";4
"510840 VARZEA GRANDE";19
"510860 VILA RICA";11
"520013 ACREUNA";1
"520025 AGUAS LINDAS DE GOIAS";3
"520030 ALEXANIA";2
"520060 ALTO PARAISO DE GOIAS";1
"520080 ALVORADA DO NORTE";9
"520085 AMERICANO DO BRASIL";1
"520110 ANAPOLIS";1136
"520140 APARECIDA DE GOIANIA";2208
"520160 ARACU";4
"520170 ARAGARCAS";2
"520250 ARUANA";2
"520320 BARRO ALTO";1
"520330 BELA VISTA DE GOIAS";79
"520350 BOM JESUS DE GOIAS";21
"520380 BRITANIA";2
"520390 BURITI ALEGRE";3
"520400 CABECEIRAS";1
"520425 CACHOEIRA DOURADA";1
"520430 CACU";13
"520440 CAIAPONIA";15
"520465 CAMPINACU";5
"520470 CAMPINORTE";2
"520490 CAMPOS BELOS";1
"520500 CARMO DO RIO VERDE";3
"520510 CATALAO";11
"520520 CATURAI";3
"520530 CAVALCANTE";5
"520540 CERES";101
"520547 CHAPADAO DO CEU";1
"520551 COCALZINHO DE GOIAS";30
"520580 CORUMBA DE GOIAS";10
"520620 CRISTALINA";7
"520630 CRISTIANOPOLIS";2
"520640 CRIXAS";15
"520650 CROMINIA";1
"520670 DAMIANOPOLIS";1
"520680 DAMOLANDIA";1
"520740 EDEIA";2
"520760 FAZENDA NOVA";8
"520780 FIRMINOPOLIS";8
"520800 FORMOSA";149
"520840 GOIANAPOLIS";8
"520860 GOIANESIA";141
"520870 GOIANIA";2458
"520890 GOIAS";2
"520910 GOIATUBA";8
"520970 HIDROLANDIA";23
"520990 IACIARA";12
"521010 IPAMERI";21
"521020 IPORA";2
"521040 ITABERAI";1
"521080 ITAJA";1
"521090 ITAPACI";5
"521100 ITAPIRAPUA";2
"521130 ITARUMA";6
"521140 ITAUCU";1
"521150 ITUMBIARA";202
"521160 IVOLANDIA";3
"521180 JARAGUA";81
"521190 JATAI";196
"521250 LUZIANIA";18
"521270 MAMBAI";2
"521308 MINACU";2
"521310 MINEIROS";5
"521350 MONTE ALEGRE DE GOIAS";8
"521375 MONTIVIDIU";10
"521380 MORRINHOS";41
"521385 MORRO AGUDO DE GOIAS";1
"521410 MUTUNOPOLIS";1
"521460 NIQUELANDIA";18
"521530 ORIZONA";8
"521550 OUVIDOR";3
"521560 PADRE BERNARDO";3
"521580 PALMELO";5
"521590 PALMINOPOLIS";1
"521630 PARANAIGUARA";2
"521710 PIRACANJUBA";125
"521720 PIRANHAS";4
"521730 PIRENOPOLIS";95
"521740 PIRES DO RIO";34
"521760 PLANALTINA";59
"521770 PONTALINA";8
"521800 PORANGATU";7
"521805 PORTEIRAO";1
"521830 POSSE";24
"521850 QUIRINOPOLIS";81
"521860 RIALMA";1
"521878 RIO QUENTE";3
"521880 RIO VERDE";345
"521890 RUBIATABA";11
"521930 SANTA HELENA DE GOIAS";8
"521970 SANTA TEREZINHA DE GOIAS";4
"521975 SANTO ANTONIO DO DESCOBERTO";3
"522010 SAO LUIS DE MONTES BELOS";10
"522020 SAO MIGUEL DO ARAGUAIA";28
"522040 SAO SIMAO";20
"522045 SENADOR CANEDO";1
"522050 SERRANOPOLIS";3
"522060 SILVANIA";7
"522068 SIMOLANDIA";4
"522100 TAQUARAL DE GOIAS";1
"522140 TRINDADE";26
"522150 TURVANIA";6
"522155 TURVELANDIA";2
"522160 URUACU";355
"522200 VIANOPOLIS";22
"522205 VICENTINOPOLIS";1
"530010 BRASILIA";4437
"Total";261693
 Fonte: Minist�rio da Sa�de - Sistema de Informa��es Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos �ltimos seis meses, sujeitos a atualiza��o.
 
